gene,log2fc,pval,padj,direction,cell_type,score
MDK,-2.0556343,6.956178839443574e-07,4.377050149051132e-06,down,fibroblast,-2.0556343
UBALD2,-2.0477133,4.121035118152127e-24,1.3450321529936352e-22,down,fibroblast,-2.0477133
PHC2,-2.0221868,6.867950979170988e-64,1.1028555682352772e-61,down,fibroblast,-2.0221868
RBM12B,-2.0033102,0.00041778439651310223,0.0014895163941401855,down,fibroblast,-2.0033102
INPP5A,-1.9927073,0.0024099292592908218,0.007077294082972205,down,fibroblast,-1.9927073
MAP2K6,-1.9862452,2.2382381387813126e-09,2.0034352303539755e-08,down,fibroblast,-1.9862452
NOTCH2NLA,-1.9636843,0.0022644946250178215,0.006699670301375212,down,fibroblast,-1.9636843
USP10,-1.9615451,1.3348090097358209e-65,2.280251391312533e-63,down,fibroblast,-1.9615451
LRRC75A,-1.944308,6.5820536711984516e-09,5.568736451638817e-08,down,fibroblast,-1.944308
BCAT1,-1.923518,0.0007264349369432193,0.002452996699080832,down,fibroblast,-1.923518
HIF3A,-1.9202824,4.071623690224126e-39,2.8676374218253955e-37,down,fibroblast,-1.9202824
KIAA0040,-1.9050094,5.943222625327708e-72,1.4034745429045932e-69,down,fibroblast,-1.9050094
DGCR6,-1.8915975,0.00013737505366150226,0.0005517680369425722,down,fibroblast,-1.8915975
NEURL1B,-1.8859782,5.683535915282176e-12,7.042146583919845e-11,down,fibroblast,-1.8859782
RRN3,-1.8820522,2.2124075672184987e-06,1.268815739799809e-05,down,fibroblast,-1.8820522
NME1,-1.864801,1.701735906353822e-17,3.558134789613239e-16,down,fibroblast,-1.864801
LAMA3,-1.8624454,0.0027936983108726725,0.008036762356860152,down,fibroblast,-1.8624454
LMCD1,-1.8617476,7.001273473764293e-12,8.556046380647414e-11,down,fibroblast,-1.8617476
RALGPS2,-1.8615034,8.344525096998497e-07,5.169613580540195e-06,down,fibroblast,-1.8615034
TAF10,-1.8532588,1.2613971183116897e-21,3.528835352935386e-20,down,fibroblast,-1.8532588
SEPTIN11,-1.846716,4.169629264842127e-60,6.199620993966192e-58,down,fibroblast,-1.846716
CIBAR1-DT,-1.8409033,0.009784535759833754,0.023705503203290648,down,fibroblast,-1.8409033
RDH10,-1.8379816,7.03728448271667e-31,3.304231410042815e-29,down,fibroblast,-1.8379816
MYL6B,-1.8313255,1.3577149858510938e-06,8.105760972462675e-06,down,fibroblast,-1.8313255
PNO1,-1.8151362,1.049005639261695e-11,1.2589635691527878e-10,down,fibroblast,-1.8151362
BOD1L1,-1.806696,3.084336316808207e-33,1.6383866626153305e-31,down,fibroblast,-1.806696
E2F3,-1.7999332,0.012325468549307463,0.028876914789141995,down,fibroblast,-1.7999332
ACACB,-1.7887359,0.0035226705060135313,0.009861654739221721,down,fibroblast,-1.7887359
C1QTNF1,-1.7865844,2.2161011711116828e-29,9.67015016459549e-28,down,fibroblast,-1.7865844
KLF15,-1.7798009,1.1129314509847877e-08,9.044257712506944e-08,down,fibroblast,-1.7798009
TAF4B,-1.7753756,0.0001975391338219649,0.000765464143560114,down,fibroblast,-1.7753756
C6orf120,-1.7676678,3.804542243311556e-05,0.00017475211482579224,down,fibroblast,-1.7676678
RPGR,-1.7427561,0.00027341970531494036,0.0010205889418752469,down,fibroblast,-1.7427561
LARP4,-1.7373766,3.630838006623723e-22,1.0678387675890797e-20,down,fibroblast,-1.7373766
NOP14,-1.729841,2.609527282832503e-07,1.7591851010799469e-06,down,fibroblast,-1.729841
MTHFD2,-1.7243446,1.3666290065437495e-31,6.570457660802254e-30,down,fibroblast,-1.7243446
TMEM97,-1.7211676,7.636878609569794e-07,4.764296686576214e-06,down,fibroblast,-1.7211676
WDR81,-1.7084248,3.857439169064477e-11,4.3621660687913643e-10,down,fibroblast,-1.7084248
FKTN,-1.7018034,0.006432461294998606,0.01655858664236736,down,fibroblast,-1.7018034
TSPAN8,-1.6998191,0.0027096330572694135,0.007822957143767035,down,fibroblast,-1.6998191
MBD2,-1.697424,5.4423279251391117e-17,1.0896870551357088e-15,down,fibroblast,-1.697424
FBXO9,-1.6923048,1.1302094600740328e-21,3.184018159626108e-20,down,fibroblast,-1.6923048
NUDT2,-1.6877275,1.2761367865238244e-09,1.1763607645235116e-08,down,fibroblast,-1.6877275
COL5A3,-1.6852415,1.678310506573056e-11,1.9729363187811228e-10,down,fibroblast,-1.6852415
RFLNB,-1.6818957,0.0001523268744878905,0.0006042650569482574,down,fibroblast,-1.6818957
RGPD5,-1.6795547,0.00026557871529885924,0.000995731259490767,down,fibroblast,-1.6795547
WDR43,-1.665574,7.492515781631098e-24,2.4159602092657067e-22,down,fibroblast,-1.665574
DPP6,-1.6596925,5.316516199560738e-06,2.8629314933784817e-05,down,fibroblast,-1.6596925
FOXD1,-1.6444569,6.754271006338554e-08,4.947996524625206e-07,down,fibroblast,-1.6444569
COLEC12,-1.6381044,1.1240964387769993e-38,7.648618904186886e-37,down,fibroblast,-1.6381044
RAMP2,-1.6374097,6.843671922407059e-126,6.105315762778475e-123,down,fibroblast,-1.6374097
PTPN11,-1.6248233,2.186764550170232e-21,6.05432157700579e-20,down,fibroblast,-1.6248233
ZNF708,-1.6224763,0.0027360065611063086,0.00789058788761586,down,fibroblast,-1.6224763
URB1,-1.6146684,0.0007351774875851539,0.0024759815636833894,down,fibroblast,-1.6146684
SINHCAF,-1.613312,0.00541883191183887,0.014292970243151867,down,fibroblast,-1.613312
NOC3L,-1.6123972,7.173537899732213e-08,5.236030526995448e-07,down,fibroblast,-1.6123972
PDE4D,-1.6087195,3.3251375340404785e-13,4.683777063300175e-12,down,fibroblast,-1.6087195
