gene,log2fc,pval,padj,direction,cell_type
TSR3,0.31225482,0.006406753954420605,0.6794775907627854,up,CD4
CYSLTR1,0.3974534,0.006406753954420605,0.6794775907627854,up,CD4
MRPL50,0.31373647,0.006978279397893634,0.6797877952718459,up,CD4
AP1S1,0.5079987,0.006978279397893634,0.6797877952718459,up,CD4
CAMK4,-0.3974546,0.0002806045050011288,0.43612738703204396,down,CD4
NUCB2,-0.3710907,0.00014323030563175785,0.43612738703204396,down,CD4
CYTIP,-0.20947109,0.0005349191820216373,0.43612738703204396,down,CD4
LRRN3,-0.7402611,0.0007696153987604031,0.4842298395884677,down,CD4
CD247,-0.21248426,0.0008100567615349623,0.4842298395884677,down,CD4
ITGB2,-0.31259435,0.000943517041180252,0.49632770434245976,down,CD4
CLEC11A,-1.5965586,0.0011532358116456277,0.49766502502083565,down,CD4
SERPINE2,-1.6026225,0.001305374894548734,0.49766502502083565,down,CD4
DENND2D,-0.28073776,0.0031490924906232803,0.5378404590154124,down,CD4
LBH,-0.23889644,0.002273740624089909,0.5378404590154124,down,CD4
CR1,-1.2488021,0.003007612322757296,0.5378404590154124,down,CD4
ATXN10,-0.24167313,0.0031490924906232803,0.5378404590154124,down,CD4
GPA33,-0.6341353,0.003450405179401492,0.5652893316138319,down,CD4
RPL22,-0.1232906,0.003450405179401492,0.5652893316138319,down,CD4
GABARAP,-0.48648384,0.003951769666137701,0.5710958558173287,down,CD4
TGFBR2,-0.26440936,0.00413305163432759,0.578231511096193,down,CD4
SOX4,-1.974872,0.004619727945665118,0.6089529565825399,down,CD4
PRMT2,-0.24516091,0.004723078212411152,0.6089529565825399,down,CD4
ARRDC2,-0.37963328,0.004936080979927651,0.6182323901621766,down,CD4
NOB1,-0.3359188,0.005157734763437217,0.6398997157921023,down,CD4
SESN1,-0.5425363,0.005628224446317859,0.666358527796447,down,CD4
CCND3,-0.2342987,0.005628224446317859,0.666358527796447,down,CD4
APEX1,-0.18689202,0.005877696694121196,0.666358527796447,down,CD4
ITM2C,-0.2983495,0.006406753954420605,0.6794775907627854,down,CD4
EEF1A1,-0.0925634,0.006406753954420605,0.6794775907627854,down,CD4
RPL37,-0.12844504,0.006406753954420605,0.6794775907627854,down,CD4
HVCN1,-0.64386564,0.006978279397893634,0.6797877952718459,down,CD4
DDIT4,-0.59546643,0.0066870296289102795,0.6797877952718459,down,CD4
CERS4,-0.615413,0.006545542715711997,0.6797877952718459,down,CD4
MTUS1,-1.1718093,0.006978279397893634,0.6797877952718459,down,CD4
FLNB,-0.5302111,0.00728087225355777,0.6938460217865089,down,CD4
MMP28,-1.0803158,0.00728087225355777,0.6938460217865089,down,CD4
RPS24,-0.10361869,0.007921612003208355,0.7234522184318963,down,CD4
RPS10,-0.27191147,0.008260546126004435,0.7340165006965157,down,CD4
MARCKSL1,-0.24501283,0.011018990802470437,0.7544462618741639,down,CD4
STMN1,-0.27368304,0.010157523236177218,0.7544462618741639,down,CD4
NOG,-0.6941924,0.010580461295490525,0.7544462618741639,down,CD4
DIMT1,-0.2515046,0.010580461295490525,0.7544462618741639,down,CD4
SIPA1L1,-0.43720666,0.011018990802470437,0.7544462618741639,down,CD4
RBM4,-0.40128908,0.009356542252126284,0.7544462618741639,down,CD4
LEF1,-0.2276953,0.009749704088334315,0.7544462618741639,down,CD4
TBC1D10A,-0.30648974,0.009749704088334315,0.7544462618741639,down,CD4
AIF1,-0.35473955,0.009356542252126284,0.7544462618741639,down,CD4
RBBP7,-0.241801,0.012433019793174327,0.7569752004631276,down,CD4
RPL4,-0.12946929,0.012433019793174327,0.7569752004631276,down,CD4
RAB11FIP3,-0.7601371,0.012433019793174327,0.7569752004631276,down,CD4
BNIP3L,-0.16671635,0.012433019793174327,0.7569752004631276,down,CD4
ARB2A,-0.2517788,0.013462828412710688,0.759869770195529,down,CD4
H2BC6,-0.3943003,0.013462828412710688,0.759869770195529,down,CD4
CD3E,-0.103353664,0.013462828412710688,0.759869770195529,down,CD4
RPL6,-0.07513898,0.016373807327199626,0.7717990686738433,down,CD4
CCT2,-0.12509635,0.01575089246476978,0.7717990686738433,down,CD4
RBL2,-0.24112278,0.015148918555712695,0.7717990686738433,down,CD4
PNPLA2,-0.25132626,0.017018262353097682,0.7744192671473621,down,CD4
USP15,-0.18359105,0.020585449358911424,0.7801081428332753,down,CD4
ANGEL2,-0.35475203,0.020585449358911424,0.7801081428332753,down,CD4
UBE2E3,-0.29791635,0.020585449358911424,0.7801081428332753,down,CD4
ARFGAP1,-0.3772461,0.021372399084033156,0.7801081428332753,down,CD4
OXNAD1,-0.15286453,0.020585449358911424,0.7801081428332753,down,CD4
RPL34,-0.107702896,0.01768486868425575,0.7801081428332753,down,CD4
CDCA7L,-0.56167215,0.018374249431523302,0.7801081428332753,down,CD4
ADPRS,-0.5542717,0.018374249431523302,0.7801081428332753,down,CD4
LDB1,-0.36504018,0.019087039703688073,0.7801081428332753,down,CD4
IDH1,-0.73739,0.019087039703688073,0.7801081428332753,down,CD4
ACTN1,-0.29453453,0.022185419011455022,0.7801081428332753,down,CD4
PRMT6,-0.62792903,0.02177560710273456,0.7801081428332753,down,CD4
RPS26,-0.57587445,0.021372399084033156,0.7801081428332753,down,CD4
PIK3C3,-0.19995949,0.022185419011455022,0.7801081428332753,down,CD4
METTL1,-0.66303366,0.01982388662755622,0.7801081428332753,down,CD4
AUTS2,-0.66413474,0.01982388662755622,0.7801081428332753,down,CD4
STK17A,-0.20409274,0.020585449358911424,0.7801081428332753,down,CD4
IP6K2,-0.25958836,0.019087039703688073,0.7801081428332753,down,CD4
IPCEF1,-0.18632466,0.023025204353645235,0.7827875115710445,down,CD4
NARS1,-0.15068592,0.023025204353645235,0.7827875115710445,down,CD4
CAPZB,-0.08027736,0.023025204353645235,0.7827875115710445,down,CD4
RHOF,-0.16477877,0.023025204353645235,0.7827875115710445,down,CD4
PABPC1,-0.12962621,0.02389246229829277,0.7827875115710445,down,CD4
RPL36A,-0.26682803,0.023025204353645235,0.7827875115710445,down,CD4
ARID5A,-0.2048121,0.02389246229829277,0.7827875115710445,down,CD4
RUVBL2,-0.39464566,0.02666632234688069,0.7827875115710445,down,CD4
FGD3,-0.15549302,0.02666632234688069,0.7827875115710445,down,CD4
EDEM3,-0.33145764,0.02666632234688069,0.7827875115710445,down,CD4
SURF6,-0.2499797,0.02478791196888571,0.7827875115710445,down,CD4
ETS1,-0.1974329,0.02389246229829277,0.7827875115710445,down,CD4
PTER,-0.24241427,0.02478791196888571,0.7827875115710445,down,CD4
SATB1,-0.20381936,0.02478791196888571,0.7827875115710445,down,CD4
PHOSPHO2,-0.5702788,0.02389246229829277,0.7827875115710445,down,CD4
CLYBL,-0.2753589,0.02478791196888571,0.7827875115710445,down,CD4
JAML,-0.224625,0.02666632234688069,0.7827875115710445,down,CD4
GYPC,-0.14246619,0.02666632234688069,0.7827875115710445,down,CD4
CD7,-0.1881062,0.02765078046934333,0.7844792683505202,down,CD4
DENND1B,-0.38386568,0.029714033721064306,0.7844792683505202,down,CD4
INIP,-0.27587825,0.029714033721064306,0.7844792683505202,down,CD4
SON,-0.109849826,0.02765078046934333,0.7844792683505202,down,CD4
MPP1,-0.34290105,0.028666424989142195,0.7844792683505202,down,CD4
ITM2A,-0.20120227,0.02765078046934333,0.7844792683505202,down,CD4
CTSD,-0.2933957,0.028666424989142195,0.7844792683505202,down,CD4
PDCD4,-0.12738314,0.028666424989142195,0.7844792683505202,down,CD4
